heteriske_code,heteriske_name,category,permit_link
1146,"שי מידע פיננסים והשקעות בע""מ",צ'יינג',https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/שי-מידע-פיננסים-והשקעות-בע_מ.pdf
1059,"איחוד מגורי ישראל בע""מ","נדל""ן",https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/איחוד-מגורי-ישראל-בע_מ.pdf
1064,"אפי קפיטל אחזקות בע""מ","נדל""ן",https://drive.google.com/file/d/16o3xT1fCi58pGpohOruq5GxJI7yROgY6/view?usp=drive_link
1065,"אפי קפיטל אחזקות משכנות בראל בע""מ","נדל""ן",https://drive.google.com/file/d/1s330kZJFI-Wi974dG6ueLNnA8wYIbIbc/view?usp=drive_link
1162,פירות הכיכר,מפעלי אוכל וצרכניות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/פירות-הכיכר.pdf
1145,"יאדיר תורה בנגב בע""מ",עמותה,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/יאדיר-תורה-בנגב-בע_מ.pdf
853,"כספא סליקה כשרה בע""מ",אשראי,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/כספא-סליקה-כשרה-בע_מ.pdf
1139,"משכן התורה נתיבות (ע""ר)",עמותה,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/משכן-התורה-נתיבות-ע_ר.pdf
1143,"נטעי ראובן (ע""ר)",עמותה,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/נטעי-ראובן-ע_ר.pdf
1142,קהלני שלום,ביגוד,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/קהלני-שלום.pdf
1053,"א.י קרן גשרים אשראי בע""מ",הלוואות והשקעות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/א.י-קרן-גשרים-אשראי-בע_מ-1.pdf
1084,גשרים 2 - שותפות השקעה שותפות מוגבלת,לימודים,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/גשרים-2-שותפות-השקעה-שותפות-מוגבלת.pdf
1085,גשרים 2 שותפות אשראי שותפות מוגבלת,לימודים,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/גשרים-2-שותפות-אשראי-שותפות-מוגבלת.pdf
1086,גשרים 2-שותפות ליווי בניה שותפות מוגבלת,לימודים,https://drive.google.com/file/d/1WzptvZXlbGASby8CJMq98a40-uxhm9Ye/view?usp=drive_link
1157,"פיינסטר בע""מ",הלוואות והשקעות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/פיינסטר-בע_מ.pdf
1063,"אנ""ש משכנתאות ופתרונות אשראי חכמים בע""מ",מימון,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/אנ_ש-משכנתאות-ופתרונות-אשראי-חכמים-בע_מ.pdf
1147,"ארבל ב.ש. פתרונות מימון ומשכנתאות בע""מ",מימון,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/ארבל-ב.ש.-פתרונות-מימון-ומשכנתאות-בע_מ.pdf
1054,"אבי בן רפאל יעוץ והדרכה לבטיחות בדרכים בע""מ",קורסים,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/אבי-בן-רפאל-יעוץ-והדרכה-לבטיחות-בדרכים-בע_מ.pdf
1102,"יעקב בן יוסף מערכות תקשורת מתקדמות בע""מ",תקשורת,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/יעקב-בן-יוסף-מערכות-תקשורת-מתקדמות-בע_מ.pdf
865,י. שרעבי ושות' משרד עורכי דין ונוטריון,"עו""ד",https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/י.-שרעבי-ושות-משרד-עורכי-דין-ונוטריון.pdf
864,"א.ב.ג. קרית יערים בע""מ","נדל""ן",https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/א.ב.ג.-קרית-יערים-בע_מ.pdf
1154,אלון מורן,"נדל""ן",https://drive.google.com/file/d/1eloSiVVbtYiOjjujD_6UFWqLTfOY1upy/view?usp=sharing
1153,אלישע אלישי להב,"נדל""ן",https://drive.google.com/file/d/1xeD4g4hfoZJ_bs6IrNAwtpy2UAubUYu_/view?usp=sharing
1088,"דלקל אחזקות 2009 בע""מ",גז,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/דלקל-אחזקות-2009-בע_מ.pdf
1089,"דלקל גז בע""מ",גז,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/דלקל-גז-בע_מ.pdf
1136,"דלקל דקלים בע""מ",גז,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/דלקל-דקלים-בע_מ.pdf
1137,"דלקל מואס גז בע""מ",גז,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/דלקל-מואס-גז-בע_מ.pdf
1135,"דלקל נכסים (2015) בע""מ",גז,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/דלקל-נכסים-2015-בע_מ.pdf
1090,"דלקלומט בע""מ",דלק,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/דלקלומט-בע_מ.pdf
1148,"טי.סי.אי תמ""א במרכז בע""מ","נדל""ן",https://drive.google.com/file/d/1fvO4MYSnxk_N38DfXelElIQFVn_eh3l8/view?usp=sharing
1100,"י.א.מ.א. מרגליות פיתוח בע""מ",גז,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/י.א.מ.א.-מרגליות-פיתוח-בע_מ.pdf
1101,"ים הדר סוכנות לביטוח (2017) בע""מ",ביטוחים,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/ים-הדר-סוכנות-לביטוח-2017-בע_מ.pdf
854,"ירוחם תיווך ויזמות בע""מ","נדל""ן",https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/ירוחם-תיווך-ויזמות-בע_מ.pdf
872,מגה פון,לצפיה בהיתר עסקה,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/מגה-פון-.pdf
1149,"פנחס 70 רמת גן בע""מ","נדל""ן",https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/פנחס-70-רמת-גן-בע_מ.pdf
1150,"פרסונל אינווסט בע""מ","נדל""ן",https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/פרסונל-אינווסט-בע_מ.pdf
1151,"פרסונל אנד מור סוכנות לביטוח ותכנון פנסיוני (2018) בע""מ","נדל""ן",https://drive.google.com/file/d/14tTyfcoTBHFMRnu-t6Kno5gMKksoxrr1/view?usp=sharing
1152,"פרסונל יזמות מ.ל. בע""מ","נדל""ן",https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/פרסונל-יזמות-מ.ל.-בע_מ.pdf
1155,"תשתיות השרון מ.ל בע""מ","נדל""ן",https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/תשתיות-השרון-מ.ל-בע_מ.pdf
850,"סילבר ג.י. ניהול בע""מ",אשראי,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/סילבר-ג.י.-ניהול-בע_מ.pdf
848,"שרי את אלכס השקעות וניהול פרוייקטים בע""מ","נדל""ן",https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/שרי-את-אלכס-השקעות-וניהול-פרוייקטים-בע_מ.pdf
862,"אורנשטיין ניהול וביצוע פרוייקטים בע""מ","נדל""ן",https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/אורנשטיין-ניהול-וביצוע-פרוייקטים-בע_מ.pdf
860,"אפיקי מים נתיבות ע""ר",מוני מים,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/אפיקי-מים-נתיבות-ע_ר.pdf
859,"ארד בע""מ",מוני מים,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/ארד-בע_מ.pdf
873,Shower top,ארונות אמבט ופינות נטילה,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/Shower-top-.pdf
1048,א. זלוצ'בסקי,פאניות ואיפור,https://drive.google.com/file/d/1pY1rIT-BffItrusWGBhlcGORzhnjTQMC/view?usp=drive_link
863,"אברהם זילברברג בניה ויזום בע""מ","נדל""ן",https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/אברהם-זילברברג-בניה-ויזום-בע_מ.pdf
1099,טוליפ,"כלי בית, שטיחים, עיצובים",https://drive.google.com/file/d/1FlMp7QPZja__vp_LACA_Byoi_Q413chS/view?usp=drive_link
1108,"מוסדות חסידי בעלז בני-ברק (ע""ר)",עמותות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/מוסדות-חסידי-בעלז-בני-ברק-ע_ר.pdf
1109,מחסני המזון,מזון,https://drive.google.com/file/d/1S-3AkvfzOyyPiaki5MnnhjC59bcIbxY1/view?usp=drive_link
1110,מיגון ישראל,דלתות,https://drive.google.com/file/d/1Sgkk38XhkKvosQ9gwQuf-AKofVfQIF0Y/view?usp=drive_link
1167,ניהוז,פאניות ואיפור,https://drive.google.com/file/d/1ummXbqZca4VF5-wdUJzghBXjiWAKmXeR/view?usp=sharing
1161,קלאסי שוז,"ביגוד, נעלים",https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/קלאסי-שוז.pdf
861,"אלסקה פרקמטיא בע""מ",מזון וצרכנות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/אלסקה-פרקמטיא-בע_מ.pdf
871,"מגורי ביתר שי עולמות בע""מ","נדל""ן",https://drive.google.com/file/d/1wDssMbxwOvm5yebHB-CppiwOYdnQl6xx/view?usp=sharing
869,"נופי בראשית שי בגליל בע""מ","נדל""ן",https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/נופי-בראשית-שי-בגליל-בע_מ.pdf
874,"נתיב החסד סופר חסד בע""מ",רשת מזון,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/נתיב-החסד-סופר-חסד-בע_מ.pdf
1165,פרימה,"ביגוד, נעלים",https://drive.google.com/file/d/1Fw5WozCfw98VHXx8vRLYnzd5V62_Jckx/view?usp=sharing
867,"קשת גיבורים בע""מ","נדל""ן",https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/קשת-גיבורים-בע_מ.pdf
866,"קשת גיבורים שיווק בע""מ","נדל""ן",https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/קשת-גיבורים-שיווק-בע_מ.pdf
849,"א.ר.א.ב. בונוס בע""מ",מימון,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/א.ר.א.ב.-בונוס-בע_מ.pdf
1055,"אובלי ערבויות בע""מ",חברות אשראי,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/אובלי-ערבויות-בע_מ.pdf
1076,ג'רוזלם צ'יינג',חלפנים / ציינג',https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/גרוזלם-ציינג.pdf
858,"בית יעקב- בית יהודה אריה ע""ר",חינוך,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/בית-יעקב-בית-יהודה-אריה-ע_ר.pdf
1087,"דיילנא אוכל מרוקאי ביתי בע""מ",אוכל,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/דיילנא-אוכל-מרוקאי-ביתי-בע_מ.pdf
1096,"הנחלה - דיור להשכרה בע""מ","נדל""ן",https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/הנחלה-דיור-להשכרה-בע_מ.pdf
870,"מגן אברהם קרנות לעזרה ולגמילות חסדים ע""ר",מוסדות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/מגן-אברהם-קרנות-לעזרה-ולגמילות-חסדים-ע_ר.pdf
856,"ברקת מימון יזמים בע""מ",מימון,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/ברקת-מימון-יזמים-בע_מ.pdf
1140,"רזאור הנדסה ויעוץ בע""מ",מיזוג,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/רזאור-הנדסה-ויעוץ-בע_מ.pdf
1051,"א.א. תכלת השקעות בטכנולוגיה בע""מ","נדל""ן",https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/א.א.-תכלת-השקעות-בטכנולוגיה-בע_מ.pdf
1058,"אחים גבאי חקלאות (1996) בע""מ",שונות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/אחים-גבאי-חקלאות-1996-בע_מ.pdf
1060,"אימפקט אירופה ישראל יזמות והשקעות בע""מ","נדל""ן",https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/אימפקט-אירופה-ישראל-יזמות-והשקעות-בע_מ.pdf
1083,"גרין סיטי נכסים בוקרשט בע""מ","נדל""ן",https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/גרין-סיטי-נכסים-בוקרשט-בע_מ.pdf
1091,דפוס שילת,דפוס,https://drive.google.com/file/d/1kCceGeMU0hjd3IkAtQVvOsTXtplnkT_S/view?usp=drive_link
1094,"ה.ש.מ אירופה ישראל יזמות בע""מ","נדל""ן",https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/ה.ש.מ-אירופה-ישראל-יזמות-בע_מ.pdf
1105,"מ.א.מ.י.א יזמות והשקעות בע""מ","נדל""ן",https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/מ.א.מ.י.א-יזמות-והשקעות-בע_מ.pdf
1827,"""חויבי""",ניהול ועד בית,https://heteriske.com/wp-content/uploads/custom_uploads/2026/05/חויבי.pdf
2843,3SV Asset and Holding Management,בנקאות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/3SV-Asset-and-Holding-Management.pdf
2825,ACS Participações,בנקאות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/ACS-Participacoes.pdf
2851,ADAR IND. COM. IMP. EXP. LTDA.,טקסטיל,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/ברזיל-אדר.pdf
2852,ADAR IND. COM. IMP. EXP. LTDA.,טקסטיל,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/ברזיל-אדר.pdf
2853,ADAR IND. COM. IMP. EXP. LTDA.,טקסטיל,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/ברזיל-אדר.pdf
2854,ADAR IND. COM. IMP. EXP. LTDA.,טקסטיל,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/ברזיל-אדר.pdf
21,Aicom,תקשורת לעסקים,https://drive.google.com/file/d/1RNN8rUxlxHdWxmAZo_HSXhStF8Y71ISn/view?usp=sharing
2403,AJS Asset Management,בנקאות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/07/31.846.936.pdf
2404,Alberto Joseph Safra Holding Ltda.,בנקאות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/07/35.606.157.pdf
629,aridesk,מחשבים,https://drive.google.com/file/d/1dVNyU_c1c_s2sLVSMIzQrDcidlJ3VYO6/view?usp=sharing
2408,Asa Assessor de Invesrimentos,בנקאות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/07/60.239.358.pdf
2402,Asa Asset Management,בנקאות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/07/19.807.960.pdf
2409,Asa Digital Assets S.A.,בנקאות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/07/60.483.028.pdf
2405,Asa Real Estate IMoveis Ltda.,בנקאות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/07/57.047.807.pdf
2406,Asa Services,בנקאות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/07/60.233.275.pdf
2407,Asa Sistemas Technologicos Ltda.,בנקאות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/07/60.233.455.pdf
2411,"Asa Sociedade de Credito, Financiamento e Investimentos S.A.",בנקאות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/07/78.703.388.pdf
2410,"Asa Sociedade de Credito, Financiamento e Investos S.A.",בנקאות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/07/61.166.983.pdf
2855,AVANTI IND. COM. IMP. EXP. LTDA.,טקסטיל,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/ברזיל-אדר.pdf
2856,AVANTI IND. COM. IMP. EXP. LTDA.,טקסטיל,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/ברזיל-אדר.pdf
2857,AVANTI IND. COM. IMP. EXP. LTDA.,טקסטיל,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/ברזיל-אדר.pdf
2858,AVANTI IND. COM. IMP. EXP. LTDA.,טקסטיל,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/ברזיל-אדר.pdf
2829,BANCO DAYCOVAL,בנקאות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/BANCO-DAYCOVAL.pdf
2836,BELMONT GROUP CORP.,בנקאות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/BELMONT-GROUP-CORP.pdf
2848,Brl1 Consortium S/A,בנקאות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/Brl1-Consortium-SA.pdf
2847,Cainvest Bank and Trust Limited,בנקאות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/Cainvest-Bank-and-Trust-Limited.pdf
2845,Cainvest International S.A,בנקאות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/Cainvest-International-S.A.pdf
2849,CISA Fundo de Investimento Financeiro Multimercado,בנקאות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/CISA-Fundo-de-Investimento-Financeiro-Multimercado.pdf
2850,CISA Liquidity Provider Ltd,בנקאות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/CISA-Liquidity-Provider-Ltd.pdf
2844,Create Brokerage,בנקאות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/Create-Brokerage.pdf
2828,CSS AGENCIA DE TURISMO,בנקאות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/CSS-AGENCIA-DE-TURISMO.pdf
2846,Dartley Securities Limited,בנקאות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/Dartley-Securities-Limited.pdf
2842,DAYCO FINANCIAL CORPORATION BVI,בנקאות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/DAYCO-FINANCIAL-CORPORATION-BVI.pdf
2834,DAYCOVAL ASSET MANAGEMENT,בנקאות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/DAYCOVAL-ASSET-MANAGEMENT.pdf
2826,DAYPREV VIDA E PREVIDÊNCIA.,בנקאות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/DAYPREV-VIDA-E-PREVIDENCIA.pdf
647,EIN compit holding LLC,"נדל""ן",https://drive.google.com/file/d/1xcbiZjyHtzYP5EhL1yCOqlkJxVA81Mu-/view?usp=sharing
669,EIN compit II holding LLC,"נדל""ן",https://drive.google.com/file/d/1tB74C727FCFb4bq61SqAiG1BDSXAFG3b/view?usp=sharing
729,EIN compit Inc,"נדל""ן",https://drive.google.com/file/d/1EKz-V_opeMCG2wUiHWMaZdmU94Rklv45/view?usp=drive_link
666,EIN compit Now LLC,"נדל""ן",https://drive.google.com/file/d/12vwBFxf2fb2SbILM-4TsZ_KGZBal2Ey-/view?usp=sharing
665,EIN Tavivian Gronp Inc,"נדל""ן",https://drive.google.com/file/d/1_3w9LjTUyMxodhYG7gbFs87jUNXdxZLt/view?usp=sharing
2833,FONTAINE BUSINESS S.A.,בנקאות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/FONTAINE-BUSINESS-S.A.pdf
2819,GLOBAL POWER DIGITAL PAYMENTS LTDA,בנקאות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/GLOBAL-POWER-DIGITAL-PAYMENTS-LTDA.pdf
1988,GLOBUS REAL ESTATE INVESTMENTS BATUMI,"נדל""ן",https://heteriske.com/wp-content/uploads/custom_uploads/2026/05/GLOBUS-REAL-ESTATE-INVESTMENTS-BATUMI.pdf
717,GO APP,תכנות,https://drive.google.com/file/d/127APiZoQd67HSqfkZlUhmuMPaRNmMf3Y/view?usp=sharing
2841,HELVETICA MANAGEMENT CORP,בנקאות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/HELVETICA-MANAGEMENT-CORP.pdf
2827,IFPP “Ptomotora” de Serviços de Consultoria e Cadastro Ltda.,בנקאות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/IFPP-Ptomotora-de-Servicos-de-Consultoria-e-Cadastro-Ltda.pdf
2820,KATEC IMPORTATION LTDA,בנקאות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/katgc.pdf
1987,KERALA EXPERT SRL,"נדל""ן",https://heteriske.com/wp-content/uploads/custom_uploads/2026/05/KERALA-EXPERT-SRL.pdf
2832,KRONU HOLDINGS LTD. BVI,בנקאות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/KRONU-HOLDINGS-LTD.-BVI.pdf
1907,LENDAL US INC. EIN,"נדל""ן",https://heteriske.com/wp-content/uploads/custom_uploads/2026/05/LENDAL-US-INC.-EIN-.pdf
1810,LR SOUTHEND LTD,"נדל""ן",https://heteriske.com/wp-content/uploads/custom_uploads/2026/05/LR-SOUTHEND-LTD-.pdf
1945,M המשכנתאות,יעוץ,https://heteriske.com/wp-content/uploads/custom_uploads/2026/05/M-המשכנתאות-.pdf
2830,MASINA INVESTMENTS INC. BVI,בנקאות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/MASINA-INVESTMENTS-INC.-BVI.pdf
2821,MONFICA COMERCIO E IMPORTADORA LTDA,בנקאות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/monfica.pdf
1807,NAPOL - DIAMONDS,שונות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/05/NAPOL-DIAMONDS-.pdf
2840,NEW DAY BUSINESS HOLDINGS LTD. BVI,בנקאות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/NEW-DAY-BUSINESS-HOLDINGS-LTD.-BVI.pdf
2823,OURIBANK MULTIPLE BANK,בנקאות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/אורי-בנק-.pdf
2148,SCI EVEN,"נדל""ן",https://heteriske.com/wp-content/uploads/custom_uploads/2026/05/SCI-EVEN.pdf
2837,SKYLIGHT OFFSHORE LIMITED,בנקאות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/SKYLIGHT-OFFSHORE-LIMITED.pdf
728,SYNERO,יעוץ עסקי,https://drive.google.com/file/d/1-KQ9VXrh6VYB-XZD5hvO6R22ClRkTPmw/view?usp=drive_link
2839,THE FIRST VISA TRUST,בנקאות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/THE-FIRST-VISA-TRUST.pdf
618,THE OWNERS CLASS LLC,"נדל""ן",https://drive.google.com/file/d/1gDrYDEDF1TRdJODy00IkM9z7s0bBdY0h/view?usp=sharing
2831,THREE PRINCESS INC.,בנקאות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/THREE-PRINCESS-INC.pdf
2835,TREETOP INVESTMENTS,בנקאות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/TREETOP-INVESTMENTS.pdf
2824,Valco Administration,בנקאות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/Valco-Administration.pdf
2838,YELLOW MOON INVESTMENT SERVICES LIMITED,בנקאות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/YELLOW-MOON-INVESTMENT-SERVICES-LIMITED.pdf
1949,YosseFinace,יעוץ,https://heteriske.com/wp-content/uploads/custom_uploads/2026/05/YosseFinace.pdf
2822,ZARAPLAST SA.,בנקאות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/zaraplast.pdf
1413,"א. גורדו בע""מ",בנין פיתוח ואינסטלציה,https://heteriske.com/wp-content/uploads/custom_uploads/2026/06/א.גורדו2-בעמ.pdf
3283,א. פטמן ליווי עומק לשיווק רווחי,בניית אסטרטגיות מיתוג ושיווק לעסקים וארגונים כתיבת תוכן שיווקי מקצועי וספרותי,https://drive.google.com/file/d/141opedbBZSpopI3lVZudBMb2jNdtX3UA/view?usp=sharing
1681,א.ב. כיפות,יודיאקה,https://heteriske.com/wp-content/uploads/custom_uploads/2026/05/א.ב.-כיפות.pdf
1859,א.וייסלר עורכת דין ומגשרת,"עו""ד",https://heteriske.com/wp-content/uploads/custom_uploads/2026/05/א.וייסלר-עורכת-דין-ומגשרת.pdf
639,"א.ט.מ.ס מטריקס בע""מ","נדל""ן",https://drive.google.com/file/d/1Yctp8kjY6KEEvb_gDdHDXQMTvPJAUzhj/view?usp=sharing
61,א.ל. שפירא כוח אדם,משאבי אנוש,https://drive.google.com/file/d/1sZSS8FKeAuEDAqV4Qp78ADClfdPOOJXA/view
2000,"א.מ. רום השקעות (2007) בע""מ","נדל""ן",https://heteriske.com/wp-content/uploads/custom_uploads/2026/05/א.מ.-רום-השקעות-2007-בעמ.pdf
2145,א.צור,שונות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/05/א.צור.pdf
