chp_number,harav_levin_name,category,biz_type
516041118,"אגד חברה לתחבורה בע""מ",תחבורה,
520035171,"אדגר השקעות ופיתוח בע""מ","נדל""ן ובינוי",
520043605,"אדמה פתרונות לחקלאות בע""מ",תעשיה כימיה גומי ופלסטיק,"חברה פרטית - בע""מ"
515416626,"אדר בעמקים בע""מ","נדל""ן ובינוי","חברה פרטית - בע""מ"
515608602,"אדר בעמקים נכסים בע""מ","נדל""ן ובינוי",
515501799,"אובליגו א.א.פ. אדוונס פייננס (2016) בע""מ",,
514115229,"אוטו קאש שרותי מימון בע""מ",מימון רכב,"חברה פרטית - בע""מ"
513795427,"אוטומקס מוטורס בע""מ",רכבים,
1841580,אול-יר הולדינגס,"נדל""ן ובינוי",
520038639,אונמי שילובים,"נדל""ן ובינוי",
514723493,אופטיק 55,אופטיקה,
,אופטיקה עילית,,
513830703,"אופל בלאנס (2006) בע""מ",פיננסים,
513734566,"אופל בלאנס השקעות בע""מ",פיננסים,
515502276,"אופן - פתרונות מתקדמים בע""מ",הלוואות,
514950880,"אופק קפיטל אשראי עסקי בע""מ",אשראי,
500200316,אופקים - עירייה,עירייה,
513129585,"אור החכמה בע""מ",,"חברה פרטית - בע""מ"
513944157,"אורו-יה החברה הישראלית לזהב וגולדפילד בע""מ",זהב,"חברה פרטית - בע""מ"
,אוריה,"נדל""ן ובינוי",
517199469,"אוריון נכסים מסחריים בע""מ","נדל""ן ובינוי","חברה ציבורית - בע""מ"
511068256,"אוריין ש.מ. בע""מ",שרותים,
520033846,"אורן השקעות (א.א.א.) בע""מ","נדל""ן ובינוי",
514181759,"אורעם השקעות ופיתוח (2008) בע""מ",אשראי,
513547224,"אורשי ג.ש. בע""מ",פיננסים,"חברה פרטית - בע""מ"
510973563,"אורתם סהר תשתיות ובניה בע""מ","נדל""ן ובינוי","חברה פרטית - בע""מ"
516090800,"אושר בכבוד בע""מ (חל""צ)",אשראי,"חברה פרטית - בע""מ"
520031089,"אזורים בנין (1965) בע""מ","נדל""ן ובינוי","חברה פרטית - בע""מ"
520025990,"אזורים חברה להשקעות בפתוח ובבנין בע""מ","נדל""ן ובינוי","חברה ציבורית - בע""מ"
,אזמין,הכנסת אורחים אומן,
,אחדות מניבים,,
515007441,"אחדות פתחיה בע""מ",,
520033150,אחוזת בית רעננה - דיור מוגן,דיור מוגן,
520022088,"אחזקת נכסי שרותי בריאות כללית בנאמנות בע""מ (חל""צ)",רפואה,
540168242,אחים אום,"נדל""ן ובינוי",
512162991,"אחים נאוי בע""מ",אין היום פעילות,
,אי - איי מחשבים,מחשבים,
512310509,"אי. אם. אי. - עזר חברה לביטוח משכנתאות בע""מ",ביטוח,
517071767,"אי. בי. אי פיקדונות בע""מ","הנפקות אג""ח",
515745875,"אי. בי. אי תבל בע""מ",השקעה ואחזקות,"חברה פרטית - בע""מ"
511089526,"אי. סי. פי. פיננסים בע""מ",פיננסים,
514481233,"אי.אס.איי אחזקות בע""מ",,"חברה פרטית - בע""מ"
513063180,"אי.אר.אן. ישראל בע""מ",שרותים פיננסים,
520034356,"אי.בי.אי בית השקעות בע""מ",השקעה ואחזקות,
516284908,"אי.בי.אי נאמנויות אי.אל. בע""מ",השקעה ואחזקות,
516267432,"אי.בי.אי ספייקס בע""מ",השקעה ואחזקות,
515396448,"אי.בי.אי קוואלטי קרדיט אחזקות בע""מ",השקעה ואחזקות,
515137693,"אי.בי.אי קוואלטי קרדיט בע""מ",השקעה ואחזקות,
515026656,"אי.בי.אי קפיטל בע""מ",השקעה ואחזקות,
516284684,"אי.בי.אי קפיטל ניהול הון בע""מ",השקעה ואחזקות,
515980530,"אי.בי.אי שותפויות נדל""ן בע""מ",השקעה ואחזקות,
510791031,"אי.בי.אי. ניהול קרנות נאמנות (1978) בע""מ",השקעה ואחזקות,"חברה פרטית - בע""מ"
510607914,"אי.בי.אי.- אמבן ניהול השקעות בע""מ",השקעה ואחזקות,
514640333,"אי.בי.ש.ד. ניהול נכסים בע""מ",,"חברה פרטית - בע""מ"
514573427,"אי.ג'י.אר.אי (ארה""ב) בע""מ",,
513764399,"אי.טי.ג'י.איי גרופ בע""מ",,"חברה ציבורית - בע""מ"
2185148,איה ניו יורק,,
515594372,"איזי בס בע""מ",הסעות,"חברה פרטית - בע""מ"
1957080,"איי איי סי1#,אל.טי.די",,
,איי טאץ - אלחנן הכרי,תקשורת,
,איי כשר,חנות,
,איי מוטורס תיווך רכב,רכב - ליסינג,
520039132,"איי.אי.אס החזקות בע""מ",השקעה ואחזקות,
514486042,"איי.די.איי. הנפקות (2010) בע""מ",ביטוח,
513910703,"איי.די.איי. חברה לביטוח בע""מ",ביטוח,"חברה ציבורית - בע""מ"
520027830,"איי.סי.אל גרופ בע""מ",כימיה גומי ופלסטיק,
514666577,"אייטרייד בע""מ",השקעה ואחזקות,"חברה פרטית - בע""מ"
520030677,איילון אחזקות,השקעה ואחזקות,"חברה ציבורית - בע""מ"
514732825,"איילון ביטוח הנפקות וגיוסי הון בע""מ","הנפקת אג""ח",
520042169,"איילון חברה לביטוח בע""מ",ביטוח,"חברה פרטית - בע""מ"
513525048,"איילון פתרונות פיננסים (2004) בע""מ",פיננסים,
517085874,"איילון קופות גמל  בע""מ",,
516618873,"אייץ בי אור השקעות ופיננסים בע""מ",נכיון צקים,
511659401,"איירפורט סיטי בע""מ","נדל""ן ובינוי",
,איכא מאושרים פלוס,,
513364190,"איכות ירוקה חברת ניהול בע""מ",פינוי פסולת בנין,
517015277,"אילון פקדונות בע""מ","הנפקות אג""ח","חברה פרטית - בע""מ"
513182345,"אינטר גרין בע""מ","נדל""ן ובינוי",
514314350,"אינטראקטיב ישראל שוקי הון בע""מ",השקעות,
515259232,"אינטראקטיב שרותי בורסה בע""מ",השקעות,"חברה פרטית - בע""מ"
513275123,"אינטרגז חברה לשיווק גז בע""מ",גז,"חברה פרטית - בע""מ"
514956465,אינטרגמל קופות גמל ופנסיה,ביטוח,
520044264,אינטרנט גולד - קווי זהב,תקשורת,
513344325,"אינטרנשיונל גרין - גז ישראל בע""מ",גז,"חברה פרטית - בע""מ"
512457490,"אינטרספייס בע""מ",אשראי,
512051699,"אינטרקיור בע""מ",ביומד,"חברה ציבורית - בע""מ"
520041773,אינפימר,טכנולוגיה,
513621110,"אינפיניטי השתלמות, גמל ופנסיה בע""מ",ביטוח,"חברה פרטית - בע""מ"
515023745,"אינפיניטי לאבס אר. אנד. די. בע""מ",תוכנות,
515001659,"אינרום תעשיות בנייה בע""מ","נדל""ן ובינוי",
520042763,איסתא ליינס חברת הנסיעות של הסטודנטים בישראל,נסיעות,"חברה ציבורית - בע""מ"
516154069,איסתרא פריפקט,הלוואות,
514359421,"אירו-פנים בע""מ",,"חברה פרטית - בע""מ"
520017146,"אל על נתיבי אויר לישראל בע""מ",טיסות,
520043035,"אלביט הדמיה בע""מ","נדל""ן ובינוי",
511103970,"אלבר א.פ. בע""מ",,
512642281,"אלבר ציי רכב (ר.צ.) בע""מ",רכב - ליסינג,"חברה פרטית - בע""מ"
515229839,"אלבר קרדיט בע""מ",הלוואות לרכב,
512025891,"אלבר שרותי מימונית בע""מ",מסחר ושרותים,
514095157,"אלדן י.א. - סוכנות לביטוח ימי (2008) בע""מ",,"חברה פרטית - בע""מ"
511391658,"אלדן מטעני אלפיים בע""מ",,
510454333,"אלדן תחבורה בע""מ",רכב - ליסינג,
515666881,"אלה פקדונות בע""מ",פיננסים,
520040015,"אלה ר. הנדסת בנין והשקעות בע""מ","נדל""ן ובינוי",
516214871,"אלומה קרן תשתיות (2020) בע""מ",השקעה ואחזקות,
512536608,"אלומות ניהול קרנות נאמנות בע""מ",ביטוח,"חברה פרטית - בע""מ"
520039868,"אלומיי קפיטל בע""מ",טכנולוגיה,"חברה ציבורית - בע""מ"
520042847,"אלון רבוע כחול ישראל בע""מ",השקעה ואחזקות,"חברה פרטית - בע""מ"
520038506,"אלוני-חץ נכסים והשקעות בע""מ","נדל""ן ובינוי","חברה ציבורית - בע""מ"
1963039,אלטיטיוד השקעות,"נדל""ן ובינוי",
511446551,"אלטשולר שחם בע""מ",ביטוח,
513173393,"אלטשולר שחם גמל ופנסיה בע""מ",ביטוח,
515092484,"אלטשולר שחם שירותי ניהול בע""מ",ביטוח,
,אלי ייבוא שיווק והפצה - פרזון אליהו יעקב (רהיטי פרזון),רהיטים,
520038738,"אליאנס חברה לצמיגים בע""מ",תעשיה,
515929990,"אליהו פלח ובניו נדל""ן בע""מ","נדל""ן ובינוי",
512989013,"אלמוג אילת ( מ.ד.ע.) 2000 בע""מ","נדל""ן ובינוי","חברה פרטית - בע""מ"
511109217,"אלמוג ב. ז. בניה והשקעות בע""מ","נדל""ן ובינוי","חברה פרטית - בע""מ"
513901082,"אלמוג ב.ז. ניהול ואחזקות בע""מ","נדל""ן ובינוי",
513988824,"אלמוגים החזקות בע""מ","נדל""ן ובינוי",
516119609,"אלעד ישראל מגורים החדשה בע""מ","נדל""ן ובינוי","חברה פרטית - בע""מ"
2624970,אלעד קנדה ריאלטי אינק.,"נדל""ן ובינוי",
520029133,"אלעזרא החזקות ביטוח בע""מ",השקעה ואחזקות,
520025370,"אלקו בע""מ",השקעה ואחזקות,
510617194,"אלקטרה בניה בע""מ","נדל""ן ובינוי",
520028911,"אלקטרה בע""מ",השקעה ואחזקות,"חברה ציבורית - בע""מ"
520039975,"אלקטרה מוצרי צריכה (1951) בע""מ",מסחר ושרותים,
520039967,"אלקטרה מוצרי צריכה (1970) בע""מ",מסחר ושרותים,"חברה ציבורית - בע""מ"
510607328,"אלקטרה נדל""ן בע""מ","נדל""ן ובינוי",
516077989,אלקטרה פאוור (2019),גז,
514403013,אלקטרה פאוור גז טבעי,גז,
510902638,אלקטרה פאוור סופרגז,גז,
516495892,אלקטרה פאוור סי.אייץ.פי.,חשמל,
520038894,"אלרוב נדל""ן ומלונאות בע""מ","נדל""ן ובינוי",
520028036,אלרון תעשיה אלקטרונית,ביומד,
520044421,"אם.אר.פי השקעות בע""מ",השקעה ואחזקות,"חברה פרטית - בע""מ"
1983001,אמ אר אר ת'ירטין,"נדל""ן ובינוי",
1981143,אמ. ג'י. ג'י (בי.וי.אי),אשראי,
1840550,אמ. די. ג'י. ריאל אסטייט גלובל,"נדל""ן ובינוי",
520026683,"אמות השקעות בע""מ","נדל""ן ובינוי",
2177996,אמטראסט אר.אי. לימיטד,"נדל""ן ובינוי",
510059744,אמישראגז,גז,
510000813,"אמפא בע""מ","נדל""ן ובינוי","חברה ציבורית - בע""מ"
516286432,"אמפא יובלים דיור להשכרה בע""מ","נדל""ן ובינוי","חברה פרטית - בע""מ"
2160207,אמריקן אקוויטי פרטנרס,"נדל""ן ובינוי",
513910521,"אנ""ש - נהול מכירות והשקעות בע""מ",השקעה ואחזקות,"חברה פרטית - בע""מ"
520043241,אנגל ג'נרל דיבלופרס,"נדל""ן ובינוי",
511614695,"אנגל השקעות וייזום פרויקטים בע""מ","נדל""ן ובינוי",
512563982,"אנגל לינקולין בע""מ","נדל""ן ובינוי",
511453888,אנגל נתיבים,"נדל""ן ובינוי",
512771106,אנגל פארקי מדע (99),"נדל""ן ובינוי",
511880460,"אנליסט קופות גמל בע""מ",ביטוח,"חברה פרטית - בע""מ"
2059088,אנקור הזדמנויות,"נדל""ן ובינוי",
1939883,אנקור פרופרטיס,"נדל""ן ובינוי",
513901371,"אנרג'יקס - אנרגיות מתחדשות בע""מ",חשמל,
515790855,"אנשי העיר מקבוצת רוטשטיין בע""מ","נדל""ן ובינוי",
,אס טק,,
511978512,"אס.אי. ברבי יהלומים בע""מ",יהלומים,
520038670,"אס.אר. אקורד בע""מ",אשראי,
481243848,אס.סי.איי איבן,,
511775090,"אסום - חברה קבלנית לבנין בע""מ","נדל""ן ובינוי",
514525591,"אסותא אשדוד בע""מ",רפואה,
511974743,"אסותא באר שבע בע""מ",רפואה,
512013996,"אסותא טכנולוגיות מתקדמות בע""מ",רפואה,
511043457,"אסותא מרכזים רפואיים בע""מ",רפואה,
511397101,"אסותא ראשון בע""מ",רפואה,
580065159,"אסנט - היבטים פנימיים של סגנון החיים היהודי (ע""ר) ASCENT - INNER DIMENSIONS OF",פעילות לקירוב רחוקים,
520037540,"אספן גרופ בע""מ","נדל""ן ובינוי",
,"אפי קפיטל נדל""ן (ע""ש אפי קפיטל אחזקות) - משכנות בראל","נדל""ן ובינוי",
513948216,"אפי קפיטל נדל""ן בע""מ","נדל""ן ובינוי",
513845750,"אפיקי סמדר בע""מ",,
514172279,"אפיקים חדשים (חושן) בע""מ",,
520033473,"אפקון החזקות בע""מ",תעשיה,
,אפקטיב,,
514639525,"אפריקה התחדשות עירונית בע""מ","נדל""ן ובינוי",
520005067,"אפריקה ישראל להשקעות בע""מ","נדל""ן ובינוי",
520034760,"אפריקה ישראל מגורים בע""מ","נדל""ן ובינוי",
520030859,"אקויטל בע""מ",השקעה ואחזקות,
516339777,"אקונרג'י אנרגיה מתחדשת בע""מ",אנרגיה,
1811308,אקסטל לימיטד,"נדל""ן ובינוי",
515968238,"אקסטנד רובוטיקס בע""מ","נדל""ן ובינוי",
520031345,"אקסל סולושנס גרופ בע""מ",,
513888214,"אקסלנס מזרחי לשעבר בע""מ",,
513086298,"אקסלנס נשואה מוצרים פיננסיים בע""מ",פיננסים,
520037730,"אקסלנס נשואה ניהול השקעות בע""מ",פיננסים,
510938277,"אקסלנס נשואה ניהול קרנות נאמנות בע""מ",פיננסים,
511974834,אקסלנס נשואה שירותי בורסה,פיננסים,
513533430,"אקספון 018 בע""מ",תקשורת,
513530600,"אקספרט פיננסים בע""מ",,
515385185,"אר.טי.אמ.אי מערכות מידע בע""מ",אשראי,
513400739,"ארדים בע""מ","נדל""ן ובינוי",
513233569,"ארזי הנגב ייזום ובניה בע""מ","נדל""ן ובינוי",
520034281,"ארזים השקעות בע""מ","נדל""ן ובינוי",
134106595,ארחות תורה ארצות הברית,ישיבה,
520038332,"ארי נדל""ן ( ארנה) השקעות בע""מ","נדל""ן ובינוי",
,אריזות שוהם,חנות,
520037367,"ארקו החזקות בע""מ",אנרגיה,
510609761,אשדר חברה לבניה,"נדל""ן ובינוי",
513907436,"אשוש חצב בע""מ",כלים חד פעמיים,
512156845,"אשטרום הנדסה ובניה בע""מ","נדל""ן ובינוי",
520036617,"אשטרום נכסים בע""מ","נדל""ן ובינוי",
516179264,"אשכול השקעות ומימון בע""מ",הלוואות,
512061185,"אשל הירדן יזום ובנין בע""מ","נדל""ן ובינוי",
513771444,אשרנו+A374,חנות ספרים,
540286929,אתרוגי יסודות,אתרוגים,
512623950,"ב. גאון אחזקות בע""מ",תעשיה מתכת ומוצרי בניה,
520038621,"ב. ס. ר. פרוייקטים בע""מ","נדל""ן ובינוי","חברה פרטית - בע""מ"
515435998,"ב.י.ת. סיגמא אחזקות קידום תכנון וניהול פרויקטים בנדל""ן בע""מ","נדל""ן ובינוי",
511327017,ב.יאיר חברה קבלנית לעבודות בניה 1988,"נדל""ן ובינוי",
514151117,"באבקום סנטרס בע""מ",תוכנות,
580440139,"באר יצחק קרית יערים (ע""ר)",רשת כוללים,
,באר שבע,עירייה,
520038555,"בוימלגרין קפיטל בע""מ",השקעה ואחזקות,
516194644,"בוכמן פיננסים בע""מ",הלוואות,
520040304,"בוני התיכון הנדסה אזרחית ותשתיות בע""מ","נדל""ן ובינוי",
512173238,"בוני ערי דן בע""מ","נדל""ן ובינוי",
748930,בורנשטיין קייטררס אינק. (רשומה בדלוואר),מזון למטוסים,
516942380,"בזק -ג'ן בע""מ",חשמל,
520031931,"בזק החברה הישראלית לתקשורת בע""מ",תקשורת,
515041218,"בי.טי.בי. מקשרים הלוואות בישראל בע""מ",הלוואות,
515915973,"ביאקטיב מובילים שינוי בע""מ",מימון תביעות רפואיות,
513623314,"ביג מרכזי קניות בע""מ","נדל""ן ובינוי",
513233585,"ביהמד דאראג בע""מ (חל""צ)",בית מדרש,
,ביוטי בית (רבני אושרית),חנות,
513680793,"ביולייט מדעי החיים בע""מ",ביומד,"חברה ציבורית - בע""מ"
515645810,"ביזלנד בע""מ",הלוואות,
520044439,"ביטוח ישיר - השקעות פיננסיות בע""מ",השקעה ואחזקות,
,ביטוח לאומי,,
,בייבי וורלד,חנות,
,בייבי פיקס,חנות מוצרי תינוקות,
,בייבי שיא - סלונים חנה אסתר,מסחר ושרותים,
,בין השורות - כהן-טוויל רחל,קורסים,
520040320,"בירמן עצים ופירזול בע""מ",תעשיה,
512084047,בית אנגל ניהול ואחזקה,"נדל""ן ובינוי",
511564510,"בית בלב בע""מ",רפואה,
520034562,"בית הזהב בע""מ","נדל""ן ובינוי",
,בית החשמל,מוצרי חשמל,
516501640,"בית וגג יזמות ונדל""ן בע""מ","נדל""ן ובינוי",
513775163,"בית זיקוק אשדוד בע""מ",גז,
580250215,"בית יעקב - דרכי רחל (ע""ר)",סמינר,
580107613,"בית מדרש עליון בני ברק - ע""י קונגרגיישן מתיבתא מיסודו של הגאון רבי ראובן גרוזובס",,
500226105,בית שמש - עירייה,עירייה,
500237805,ביתר עילית - עירייה,עירייה,
513053611,"בלו סקאי 2000 השכרת רכב בע""מ",השכרת רכב,
515338903,"בלנדר פי2פי ישראל בע""מ",הלוואות,
,במבוק-דרומס,מכירת מתנות,
510533417,"במברגר - רוזנהיים בע""מ",,
500261003,בני ברק - עירייה,עירייה,
,בני הישיבות (הומינער בריינדל),קיוסק,
,בני כהן (רופא שיניים),מרפאת שיניים,
520007030,"בנק דיסקונט לישראל בע""מ",בנקים,
520019753,בנק דקסיה ישראל,בנקים,
520000118,"בנק הפועלים בע""מ",בנקים,
520020421,"בנק יהב לעובדי המדינה בע""מ",בנקים,"חברה פרטית - בע""מ"
520025636,"בנק ירושלים בע""מ",בנקים,
,בנק ישראל,בנקים,
520000522,"בנק מזרחי טפחות בע""מ",בנקים,
510762263,"בנק מסד בע""מ",בנקים,
520029281,"בנק מרכנתיל דיסקונט בע""מ",בנקים,
516405040,"בנקום פרויקטים בע""מ","נדל""ן ובינוי",
,בסט פון,תקשורת,
,בעין טובה - ברוך שמעון הרווה,אופטיקה,
515206159,"בר גל מעצבי על (2015) בע""מ",רהיטים,
515601813,"בראשית סולאר בע""מ",מערכות סולאריות,
,ברבר רבקה - פאות,פאות,
560024184,ברגרואין רזידנטיאל לימיטד,,
1814237,ברוקלנד אפריל,"נדל""ן ובינוי",
513448969,"בריטיש - ישראל השקעות בע""מ","נדל""ן ובינוי",
511786378,"ברימאג דיגיטל אייג' בע""מ",מסחר ושרותים,
,ברכת ישראל - שוורץ חוה,צרכניה,
513579482,"ברם תעשיות בע""מ",תעשיה כימיה גומי ופלסטיק,
520040346,ברנד תעשיות,תעשיה מתכת ומוצרי בניה,
,ברנדווין הלבשה - גיטל ברנדווין,הלבשה,
514964642,"בש-יונה קוממיות בע""מ",עיבוד עורות,
,בשעה טובה - אברמוביץ דוד,שעונים,
520036658,"בתי זקוק לנפט בע""מ",אנרגיה,
511449878,"ג'ון ברייס הדרכה בע""מ",תוכנות,
514941285,ג'וניור (נ.ב) מוצרי תינוקות,מסחר ושרותים,"חברה פרטית - בע""מ"
,ג'וניור - טורם משה,מוצרי תינוקות,
515763894,"ג'י טי נדל""ן בע""מ","נדל""ן ובינוי",
516816451,"ג'י.אס.אי פקדונות בע""מ",שרותים פיננסים,
514403120,"ג'י.אף.סי גרין פילדס קפיטל בע""מ",השקעה ואחזקות,
1852623,ג'י.אפ.איי ריאל אסטייט,"נדל""ן ובינוי",
550266316,ג'נסיס הזדמנויות,"נדל""ן ובינוי",
514993179,"ג'נסיס ספרד ישראל השקעות ויזמות נדל""ן בע""מ","נדל""ן ובינוי",
515846558,"ג'נריישן קפיטל בע""מ",השקעה ואחזקות,
512273939,"ג. יגל נכסים בע""מ",,
515684389,"ג.ג. גן הגנים בע""מ",גנים,
520032178,"גבאי מניבים ופיתוח בע""מ","נדל""ן ובינוי",
500237300,גבעת זאב - מועצה מקומית,מועצה מקומית,
520041419,"גדות תעשיות ביוכימיה בע""מ",תעשיה,
,גדעון קוהן - ניהול ויעוץ פינסי כהלכה,פיננסים,
,גודמנס,,
,גוט קרמיק - גוטמן,קרמיקה,
510681414,"גוינט ישראל (חל""צ)",הלוואות,
514538040,"גולן טלקום בע""מ",תקשורת,
513228908,"גז יגל 2002 חברה להפצת גז בע""מ",גז,
512407446,"גז יגל חברה לשיווק והפצת גז (1996) בע""מ",גז,
514225077,"גז מרכז ג.י בע""מ",גז,
511470007,"גזגל בע""מ",גז,
510514102,"גזטיב החברה להפצת גז טבעי בע""מ",גז,
520023094,"גילעד גימלאות לעובדים דתיים בע""מ",ביטוח,
511784498,"גילת טלקום בע""מ",תקשורת,
520041674,"גילת טלקום גלובל בע""מ",תקשורת,
520044520,"גירון - פתוח ובניה בע""מ","נדל""ן ובינוי",
513519843,"גלאט צ'יינג' בע""מ",צ'יינג',
513342444,"גלובל כנפיים ליסינג בע""מ",רכב - ליסינג,
514943885,"גלובל נט ישראל ג'י.אנ.איי בע""מ",,
513634394,"גלובל פקטורינג בע""מ",,
515742930,"גלעד פקדונות בע""מ",הפקדות בבנקים,
,גלריית יפה נוף,חנות,
,גלרנטר תקשורת,תקשורת,
580403533,"גמ""ח המרכזי","גמ""ח",
,"גמ""ח חסדי שאול","גמ""ח",
512711789,"גמא ניהול וסליקה בע""מ",אשראי,
580043081,"גמילות חסדים הכללי דחסידי בעלזא (אחיעזר ואחיסמך) שע""י קהל מחזיקי הדת באר""י (ע""ר)","גמ""ח",
512416991,"גניגר מפעלי פלסטיקה בע""מ",תעשיה,"חברה ציבורית - בע""מ"
510041692,"גסטטנרטק בע""מ",תוכנות,
512781386,"גפן מגורים והתחדשות בע""מ","נדל""ן ובינוי",
514636091,"גרין ארק בע""מ",אשראי,
515198984,"גרינבאום זוהר יזמות בע""מ","נדל""ן ובינוי",
512769522,"גרליץ איכות בע""מ",מפעל מזון,
516414968,"גשם בנגב בע""מ","נדל""ן ובינוי",
515541415,"גשם למשתכן בע""מ","נדל""ן ובינוי",
,"ד""ר דניאל שפירו",מרפאת שיניים,
511607103,"ד. דניאל חברה לבנין בע""מ",,
515367803,"דבליפ בע""מ",תוכנות,
1744984,דה זראסאי גרופ,"נדל""ן ובינוי",
1427976,דה לסר גרופ,"נדל""ן ובינוי",
511543886,"דונה חברה להנדסה ובנין בע""מ","נדל""ן ובינוי",
515117554,"דונה לינן בע""מ",מצעים ומגבות,
520043878,"דור-אלון אנרגיה בישראל (1988) בע""מ/",אנרגיה,
520043563,"דור-אלון טכנולוגיות גז בע""מ",גז,
513326439,"דוראד אנרגיה בע""מ",חשמל,
512293200,"דורגז החדשה בע""מ",גז,
512112806,"דורסל (ב.א.ז.) בע""מ","נדל""ן ובינוי",
516597549,"דורסל החזקות בע""מ","נדל""ן ובינוי",
514978097,דיויד לנדמרק יזמות על שם אופק שלי יזמות,"נדל""ן ובינוי",
510169139,דיינרס קלוב ישראל בע'מ,כרטיסי אשראי,
515495463,"דיירקט בניפיט בע""מ",אשראי,
,דלור - רוזנטלר יעקב מאיר,קייטרינג,
516378643,"דלק ישראל נכסים (ד.פ.) בע""מ","נדל""ן ובינוי",
513343285,"דלק פטרוליום בע""מ",השקעה ואחזקות,
550013098,דלק קידוחים,חיפושי נפט וגז,
514837111,דלק תמלוגים (2012),חיפושי נפט וגז,
520018946,"דלק"" חברת הדלק הישראלית בע""מ",מסחר ושרותים,
1888119,דלשה קפיטל,"נדל""ן ובינוי",
520037565,"דנאל אדיר יהושע בע""מ",סיעוד,
511945099,"דנה הנדסה בע""מ",תוכנות,
513262683,"דניאל פז השקעות בע""מ","נדל""ן ובינוי",
517122495,"דניאל פקדונות בע""מ","הנפקות אג""ח",
512569237,"דניה סיבוס בע""מ","נדל""ן ובינוי",
520030503,"דקלה סוכנות לביטוח בע""מ",ביטוח,
513704304,דקסיה ישראל הנפקות,"הנפקת אג""ח",
520038902,"דרבן השקעות בע""מ","נדל""ן ובינוי",
512475203,"דרך ארץ הייווייז (1997) בע""מ",גביית אגרה מכבישים,
515455137,דרך האשראי,הלוואות לרכב,
513769471,"דרך צדיקים הדרך לגאולה בע""מ",,
580140143,"דרכי שמחה (ע""ר)",ספרים,
,ה.מ. פתרונות הדפסה,מוצרי דפוס,
580715381,"הארות (ע""ר)",,
513141879,"הבינלאומי הראשון הנפקות בע""מ","הנפקת אג""ח",
,הבית שלי אריה פישר,,
520029083,"הבנק הבינלאומי הראשון לישראל בע""מ",בנקים,
516342086,"הברוש צמיחה לעסקים בע""מ",קייטרינג,
,הגפן,תשמישי קדושה,
513949404,"הדס ארזים בע""מ",,
510429103,"הדר הפודים בע""מ",קייטרינג,
520040072,"הוט - מערכות תקשורת בע""מ",תקשורת,
550215255,הוט טלקום,תקשורת,
512615964,"הוט מובייל בע""מ",תקשורת,
512129701,"הוט נט שירותי אינטרנט בע""מ",תקשורת,
511394215,"החברה הכלכלית לראש-העין בע""מ",עירייה,
520030990,"החברה המנהלת של מינהל קרן ההשתלמות לפקידים עובדי המינהל והשירותים בע""מ",קרן השתלמות,
520031824,"החברה המנהלת של רום קרן ההשתלמות לעובדי הרשויות המקומיות בע""מ",קרן השתלמות,
516216413,"החברה לאשראי נקוב יהלומים בע""מ",אשראי,
